School Year,Level,Division Number,Division Name,School Number,School Name,Subject,Race,Grade,Test Level,Test Source,Test,Pass Count,Total Count,Pass Rate
2005-2006,School,2,Albemarle County,150,Paul H. Cale Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,47,50,94.00
2005-2006,School,2,Albemarle County,540,Red Hill Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2005-2006,School,2,Albemarle County,540,Red Hill Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,15,18,83.33
2005-2006,School,2,Albemarle County,30,Scottsville Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,<50
2005-2006,School,2,Albemarle County,30,Scottsville Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,21,24,87.50
2005-2006,School,2,Albemarle County,920,Stone Robinson Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2005-2006,School,2,Albemarle County,920,Stone Robinson Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,46,53,86.79
2005-2006,School,2,Albemarle County,240,Stony Point Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,<50
2005-2006,School,2,Albemarle County,240,Stony Point Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,26,28,92.86
2005-2006,School,2,Albemarle County,910,Virginia L. Murray Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,41,42,97.62
2005-2006,School,2,Albemarle County,930,Woodbrook Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2005-2006,School,2,Albemarle County,930,Woodbrook Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,33,35,94.29
2005-2006,Division,2,Albemarle County,,,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,56,85,65.88
2005-2006,Division,2,Albemarle County,,,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,79,114,69.30
2005-2006,Division,2,Albemarle County,,,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,603,667,90.40
2005-2006,Division,2,Albemarle County,,,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,626,707,88.54
2005-2006,School,104,Charlottesville City,100,Buford Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,62,144,43.06
2005-2006,School,104,Charlottesville City,100,Buford Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,101,127,79.53
2005-2006,School,104,Charlottesville City,70,Burnley-Moran Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,9,15,60.00
2005-2006,School,104,Charlottesville City,70,Burnley-Moran Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,28,32,87.50
2005-2006,School,104,Charlottesville City,50,Clark Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,11,18,61.11
2005-2006,School,104,Charlottesville City,50,Clark Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,7,11,63.64
2005-2006,School,104,Charlottesville City,90,Greenbrier Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,19,23,82.61
2005-2006,School,104,Charlottesville City,90,Greenbrier Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,23,26,88.46
2005-2006,School,104,Charlottesville City,120,Jackson - Via Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,12,20,60.00
2005-2006,School,104,Charlottesville City,120,Jackson - Via Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,13,17,76.47
2005-2006,School,104,Charlottesville City,10,Johnson Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,23,36,63.89
2005-2006,School,104,Charlottesville City,10,Johnson Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,9,11,81.82
2005-2006,School,104,Charlottesville City,40,Venable Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,10,12,83.33
2005-2006,School,104,Charlottesville City,40,Venable Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,32,32,100.00
2005-2006,Division,104,Charlottesville City,,,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,84,128,65.63
2005-2006,Division,104,Charlottesville City,,,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,63,149,42.28
2005-2006,Division,104,Charlottesville City,,,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,112,129,86.82
2005-2006,Division,104,Charlottesville City,,,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,101,127,79.53
2005-2006,School,32,Fluvanna County,300,Central Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,29,43,67.44
2005-2006,School,32,Fluvanna County,300,Central Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,179,228,78.51
2005-2006,School,32,Fluvanna County,20,Fluvanna Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,32,49,65.31
2005-2006,School,32,Fluvanna County,20,Fluvanna Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,171,211,81.04
2005-2006,Division,32,Fluvanna County,,,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,29,43,67.44
2005-2006,Division,32,Fluvanna County,,,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,32,51,62.75
2005-2006,Division,32,Fluvanna County,,,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,180,229,78.60
2005-2006,Division,32,Fluvanna County,,,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,172,212,81.13
2005-2006,School,39,Greene County,20,Nathanael Greene Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,7,11,63.64
2005-2006,School,39,Greene County,20,Nathanael Greene Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,80,95,84.21
2005-2006,School,39,Greene County,30,Ruckersville Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2005-2006,School,39,Greene County,30,Ruckersville Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,59,76,77.63
2005-2006,School,39,Greene County,71,William Monroe Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,13,26,50.00
2005-2006,School,39,Greene County,71,William Monroe Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,123,164,75.00
2005-2006,Division,39,Greene County,,,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,13,19,68.42
2005-2006,Division,39,Greene County,,,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,13,26,50.00
2005-2006,Division,39,Greene County,,,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,139,171,81.29
2005-2006,Division,39,Greene County,,,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,126,169,74.56
2005-2006,School,54,Louisa County,660,Jouett Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,11,19,57.89
2005-2006,School,54,Louisa County,660,Jouett Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,68,77,88.31
2005-2006,School,54,Louisa County,601,Louisa County Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,63,96,65.63
2005-2006,School,54,Louisa County,601,Louisa County Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,192,242,79.34
2005-2006,School,54,Louisa County,610,Thomas Jefferson Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,17,19,89.47
2005-2006,School,54,Louisa County,610,Thomas Jefferson Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,53,60,88.33
2005-2006,School,54,Louisa County,641,Trevilians Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,12,22,54.55
2005-2006,School,54,Louisa County,641,Trevilians Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,57,67,85.07
2005-2006,Division,54,Louisa County,,,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,40,60,66.67
2005-2006,Division,54,Louisa County,,,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,63,97,64.95
2005-2006,Division,54,Louisa County,,,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,178,204,87.25
2005-2006,Division,54,Louisa County,,,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,192,243,79.01
2005-2006,School,62,Nelson County,730,Nelson Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,21,29,72.41
2005-2006,School,62,Nelson County,730,Nelson Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,85,98,86.73
2005-2006,School,62,Nelson County,10,Rockfish River Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2005-2006,School,62,Nelson County,10,Rockfish River Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,38,42,90.48
2005-2006,School,62,Nelson County,20,Tye River Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,12,14,85.71
2005-2006,School,62,Nelson County,20,Tye River Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,43,51,84.31
2005-2006,Division,62,Nelson County,,,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,15,17,88.24
2005-2006,Division,62,Nelson County,,,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,21,29,72.41
2005-2006,Division,62,Nelson County,,,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,81,93,87.10
2005-2006,Division,62,Nelson County,,,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,85,99,85.86
2006-2007,School,2,Albemarle County,160,Agnor-Hurt Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,12,17,70.59
2006-2007,School,2,Albemarle County,160,Agnor-Hurt Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,26,28,92.86
2006-2007,School,2,Albemarle County,1053,Baker-Butler Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,7,11,63.64
2006-2007,School,2,Albemarle County,1053,Baker-Butler Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,60,69,86.96
2006-2007,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,<50
2006-2007,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,9,14,64.29
2006-2007,School,2,Albemarle County,100,Broadus Wood Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,<50
2006-2007,School,2,Albemarle County,100,Broadus Wood Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,42,47,89.36
2006-2007,School,2,Albemarle County,941,Brownsville Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2006-2007,School,2,Albemarle County,941,Brownsville Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,46,55,83.64
2006-2007,School,2,Albemarle County,340,Crozet Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2006-2007,School,2,Albemarle County,340,Crozet Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,58,64,90.63
2006-2007,School,2,Albemarle County,10,Hollymead Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2006-2007,School,2,Albemarle County,10,Hollymead Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,52,55,94.55
2006-2007,School,2,Albemarle County,950,Jack Jouett Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,19,34,55.88
2006-2007,School,2,Albemarle County,950,Jack Jouett Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,109,115,94.78
2006-2007,School,2,Albemarle County,69,Jackson P. Burley Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,23,41,56.10
2006-2007,School,2,Albemarle County,69,Jackson P. Burley Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,91,108,84.26
2006-2007,School,2,Albemarle County,942,Joseph T. Henley Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,<,10,<50
2006-2007,School,2,Albemarle County,942,Joseph T. Henley Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,180,202,89.11
2006-2007,School,2,Albemarle County,20,Leslie H. Walton Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,13,26,50.00
2006-2007,School,2,Albemarle County,20,Leslie H. Walton Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,87,110,79.09
2006-2007,School,2,Albemarle County,40,Mary Carr Greer Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,20,<50
2006-2007,School,2,Albemarle County,40,Mary Carr Greer Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,17,20,85.00
2006-2007,School,2,Albemarle County,250,Meriwether Lewis Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2006-2007,School,2,Albemarle County,250,Meriwether Lewis Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,68,73,93.15
2006-2007,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,8,11,72.73
2006-2007,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,162,174,93.10
2006-2007,School,2,Albemarle County,150,Paul H. Cale Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,9,15,60.00
2006-2007,School,2,Albemarle County,150,Paul H. Cale Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,44,48,91.67
2006-2007,School,2,Albemarle County,540,Red Hill Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2006-2007,School,2,Albemarle County,540,Red Hill Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,23,26,88.46
2006-2007,School,2,Albemarle County,30,Scottsville Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2006-2007,School,2,Albemarle County,30,Scottsville Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,19,21,90.48
2006-2007,School,2,Albemarle County,920,Stone Robinson Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,9,11,81.82
2006-2007,School,2,Albemarle County,920,Stone Robinson Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,51,60,85.00
2006-2007,School,2,Albemarle County,240,Stony Point Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2006-2007,School,2,Albemarle County,240,Stony Point Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,29,32,90.63
2006-2007,School,2,Albemarle County,910,Virginia L. Murray Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2006-2007,School,2,Albemarle County,910,Virginia L. Murray Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,38,38,100.00
2006-2007,School,2,Albemarle County,930,Woodbrook Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,<50
2006-2007,School,2,Albemarle County,930,Woodbrook Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,23,29,79.31
2006-2007,Division,2,Albemarle County,,,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,79,128,61.72
2006-2007,Division,2,Albemarle County,,,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,67,124,54.03
2006-2007,Division,2,Albemarle County,,,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,605,681,88.84
2006-2007,Division,2,Albemarle County,,,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,630,716,87.99
2006-2007,School,104,Charlottesville City,100,Buford Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,50,135,37.04
2006-2007,School,104,Charlottesville City,100,Buford Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,85,94,90.43
2006-2007,School,104,Charlottesville City,70,Burnley-Moran Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,11,17,64.71
2006-2007,School,104,Charlottesville City,70,Burnley-Moran Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,32,36,88.89
2006-2007,School,104,Charlottesville City,50,Clark Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,20,<50
2006-2007,School,104,Charlottesville City,50,Clark Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2006-2007,School,104,Charlottesville City,90,Greenbrier Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,14,15,93.33
2006-2007,School,104,Charlottesville City,90,Greenbrier Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,31,32,96.88
2006-2007,School,104,Charlottesville City,120,Jackson - Via Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,10,20,50.00
2006-2007,School,104,Charlottesville City,120,Jackson - Via Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,12,13,92.31
2006-2007,School,104,Charlottesville City,10,Johnson Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,20,25,80.00
2006-2007,School,104,Charlottesville City,10,Johnson Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,<,<,>50
2006-2007,School,104,Charlottesville City,40,Venable Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,7,11,63.64
2006-2007,School,104,Charlottesville City,40,Venable Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,29,29,100.00
2006-2007,Division,104,Charlottesville City,,,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,70,108,64.81
2006-2007,Division,104,Charlottesville City,,,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,50,139,35.97
2006-2007,Division,104,Charlottesville City,,,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,111,120,92.50
2006-2007,Division,104,Charlottesville City,,,English:Reading,"White, not of Hispanic origin",4,Grade 3,SOL,English Reading,<,<,>50
2006-2007,Division,104,Charlottesville City,,,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,85,96,88.54
2006-2007,School,32,Fluvanna County,300,Central Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,27,46,58.70
2006-2007,School,32,Fluvanna County,300,Central Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,181,224,80.80
2006-2007,School,32,Fluvanna County,20,Fluvanna Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,30,46,65.22
2006-2007,School,32,Fluvanna County,20,Fluvanna Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,180,210,85.71
2006-2007,Division,32,Fluvanna County,,,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,27,46,58.70
2006-2007,Division,32,Fluvanna County,,,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,30,46,65.22
2006-2007,Division,32,Fluvanna County,,,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,181,224,80.80
2006-2007,Division,32,Fluvanna County,,,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,182,212,85.85
2006-2007,School,39,Greene County,20,Nathanael Greene Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,7,10,70.00
2006-2007,School,39,Greene County,20,Nathanael Greene Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,80,106,75.47
2006-2007,School,39,Greene County,30,Ruckersville Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,9,17,52.94
2006-2007,School,39,Greene County,30,Ruckersville Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,46,63,73.02
2006-2007,School,39,Greene County,71,William Monroe Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,14,22,63.64
2006-2007,School,39,Greene County,71,William Monroe Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,121,152,79.61
2006-2007,Division,39,Greene County,,,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,16,27,59.26
2006-2007,Division,39,Greene County,,,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,14,22,63.64
2006-2007,Division,39,Greene County,,,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,126,169,74.56
2006-2007,Division,39,Greene County,,,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,121,152,79.61
2006-2007,School,54,Louisa County,660,Jouett Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,6,12,50.00
2006-2007,School,54,Louisa County,660,Jouett Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,69,91,75.82
2006-2007,School,54,Louisa County,601,Louisa County Middle,English:Reading,"Black, not of Hispanic origin",8,Grade 8,SOL,English Reading,51,92,55.43
2006-2007,School,54,Louisa County,601,Louisa County Middle,English:Reading,"White, not of Hispanic origin",8,Grade 8,SOL,English Reading,202,268,75.37
2006-2007,School,54,Louisa County,610,Thomas Jefferson Elementary,English:Reading,"Black, not of Hispanic origin",3,Grade 3,SOL,English Reading,19,29,65.52
2006-2007,School,54,Louisa County,610,Thomas Jefferson Elementary,English:Reading,"White, not of Hispanic origin",3,Grade 3,SOL,English Reading,68,81,83.95
