School Year,Division Number,Division Name,Subject,Race,Test Level,Test Source,Test,Total Count,Pass Rate
2005-2006,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,43,67.44
2005-2006,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,41,80.49
2005-2006,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,38,71.05
2005-2006,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,44,75
2005-2006,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,50,58
2005-2006,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,52,61.54
2005-2006,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,229,78.6
2005-2006,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,190,92.11
2005-2006,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,233,88.41
2005-2006,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,211,88.63
2005-2006,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,208,83.65
2005-2006,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,212,81.13
2005-2006,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,19,68.42
2005-2006,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,21,52.38
2005-2006,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,13,61.54
2005-2006,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,29,62.07
2005-2006,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,20,70
2005-2006,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,26,50
2005-2006,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,172,81.4
2005-2006,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,137,79.56
2005-2006,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,153,88.24
2005-2006,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,166,87.35
2005-2006,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,156,82.05
2005-2006,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,172,73.26
2005-2006,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,60,66.67
2005-2006,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,43,74.42
2005-2006,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,61,90.16
2005-2006,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,87,66.67
2005-2006,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,92,53.26
2005-2006,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,98,64.29
2005-2006,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,204,87.25
2005-2006,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,216,81.02
2005-2006,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,233,95.28
2005-2006,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,264,83.33
2005-2006,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,263,76.05
2005-2006,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,247,77.73
2005-2006,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,17,88.24
2005-2006,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,26,84.62
2005-2006,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,22,86.36
2005-2006,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,30,73.33
2005-2006,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,23,82.61
2005-2006,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,29,72.41
2005-2006,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,93,87.1
2005-2006,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,109,85.32
2005-2006,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,103,96.12
2005-2006,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,115,90.43
2005-2006,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,92,93.48
2005-2006,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,103,83.5
2006-2007,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,128,61.72
2006-2007,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,96,81.25
2006-2007,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,98,81.63
2006-2007,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,113,75.22
2006-2007,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,124,76.61
2006-2007,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,126,53.17
2006-2007,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,681,88.84
2006-2007,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,665,93.38
2006-2007,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,650,95.54
2006-2007,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,660,92.73
2006-2007,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,718,91.23
2006-2007,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,725,87.17
2006-2007,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,108,64.81
2006-2007,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,120,76.67
2006-2007,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,123,72.36
2006-2007,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,99,73.74
2006-2007,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,128,51.56
2006-2007,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,145,35.17
2006-2007,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,121,92.56
2006-2007,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,122,91.8
2006-2007,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,93,94.62
2006-2007,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,115,93.91
2006-2007,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,115,91.3
2006-2007,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,101,87.13
2006-2007,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,46,58.7
2006-2007,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,50,62
2006-2007,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,45,71.11
2006-2007,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,40,75
2006-2007,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,48,75
2006-2007,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,47,63.83
2006-2007,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,224,80.8
2006-2007,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,223,85.65
2006-2007,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,189,94.18
2006-2007,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,233,92.7
2006-2007,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,208,90.38
2006-2007,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,212,85.85
2006-2007,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,27,59.26
2006-2007,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,17,70.59
2006-2007,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,30,70
2006-2007,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,16,68.75
2006-2007,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,30,53.33
2006-2007,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,22,63.64
2006-2007,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,169,74.56
2006-2007,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,177,87.01
2006-2007,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,161,83.85
2006-2007,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,164,88.41
2006-2007,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,176,83.52
2006-2007,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,155,78.71
2006-2007,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,73,60.27
2006-2007,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,60,70
2006-2007,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,48,68.75
2006-2007,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,66,72.73
2006-2007,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,90,57.78
2006-2007,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,92,55.43
2006-2007,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,244,79.92
2006-2007,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,232,88.79
2006-2007,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,231,87.45
2006-2007,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,262,86.26
2006-2007,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,277,77.98
2006-2007,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,268,75.37
2006-2007,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,26,73.08
2006-2007,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,27,81.48
2006-2007,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,23,95.65
2006-2007,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,28,64.29
2006-2007,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,27,74.07
2006-2007,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,23,78.26
2006-2007,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,123,80.49
2006-2007,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,100,90
2006-2007,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,122,91.8
2006-2007,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,110,88.18
2006-2007,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,117,87.18
2006-2007,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,88,93.18
2007-2008,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,106,66.98
2007-2008,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,123,73.17
2007-2008,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,99,84.85
2007-2008,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,97,78.35
2007-2008,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,115,76.52
2007-2008,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,116,68.1
2007-2008,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,669,91.48
2007-2008,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,699,94.85
2007-2008,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,633,94.15
2007-2008,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,661,93.04
2007-2008,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,665,94.59
2007-2008,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,734,90.74
2007-2008,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,132,78.03
2007-2008,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,102,84.31
2007-2008,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,104,63.46
2007-2008,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,128,74.22
2007-2008,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,95,68.42
2007-2008,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,132,43.94
2007-2008,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,124,93.55
2007-2008,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,106,96.23
2007-2008,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,114,92.11
2007-2008,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,92,92.39
2007-2008,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,115,90.43
2007-2008,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,113,88.5
2007-2008,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,43,60.47
2007-2008,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,44,63.64
2007-2008,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,44,75
2007-2008,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,43,86.05
2007-2008,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,42,64.29
2007-2008,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,47,74.47
2007-2008,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,206,84.47
2007-2008,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,219,84.02
2007-2008,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,219,88.58
2007-2008,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,185,92.97
2007-2008,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,223,91.48
2007-2008,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,202,92.08
2007-2008,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,19,84.21
2007-2008,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,25,68
2007-2008,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,17,82.35
2007-2008,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,28,60.71
2007-2008,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,13,69.23
2007-2008,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,31,61.29
2007-2008,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,189,82.54
2007-2008,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,155,89.03
2007-2008,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,173,90.75
2007-2008,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,162,79.01
2007-2008,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,165,81.21
2007-2008,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,168,89.29
2007-2008,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,61,73.77
2007-2008,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,64,85.94
2007-2008,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,53,75.47
2007-2008,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,47,78.72
2007-2008,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,70,85.71
2007-2008,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,84,61.9
2007-2008,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,187,90.37
2007-2008,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,237,88.19
2007-2008,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,230,96.52
2007-2008,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,230,84.78
2007-2008,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,254,87.8
2007-2008,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,281,83.27
2007-2008,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,22,45.45
2007-2008,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,31,74.19
2007-2008,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,29,89.66
2007-2008,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,35,71.43
2007-2008,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,31,74.19
2007-2008,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,24,79.17
2007-2008,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,121,82.64
2007-2008,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,137,91.24
2007-2008,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,93,93.55
2007-2008,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,122,82.79
2007-2008,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,110,90.91
2007-2008,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,120,90.83
2008-2009,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,122,78.69
2008-2009,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,118,85.59
2008-2009,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,121,80.99
2008-2009,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,108,72.22
2008-2009,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,110,85.45
2008-2009,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,114,79.82
2008-2009,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,727,93.26
2008-2009,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,674,94.51
2008-2009,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,689,96.52
2008-2009,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,652,92.79
2008-2009,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,669,97.31
2008-2009,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,671,96.13
2008-2009,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,108,75
2008-2009,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,115,76.52
2008-2009,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,99,76.77
2008-2009,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,99,72.73
2008-2009,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,110,79.09
2008-2009,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,103,61.17
2008-2009,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,122,96.72
2008-2009,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,125,93.6
2008-2009,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,106,90.57
2008-2009,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,110,95.45
2008-2009,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,92,95.65
2008-2009,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,116,93.1
2008-2009,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,45,71.11
2008-2009,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,41,75.61
2008-2009,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,44,77.27
2008-2009,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,48,83.33
2008-2009,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,39,89.74
2008-2009,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,42,71.43
2008-2009,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,200,83.5
2008-2009,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,201,92.04
2008-2009,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,215,91.63
2008-2009,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,220,90.91
2008-2009,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,185,95.14
