fall_membership_statistics (1),,,,,,,,,,
School Year,Level,Division Number,Division Name,School Number,School Name,Race,Disadvantaged,Full Time Count (All Grades),Part Time Count (All Grades),Total Count
2005-2006,School,2,Albemarle County,540,Red Hill Elementary,"Black, not of Hispanic origin",Y,13,,13
2005-2006,School,2,Albemarle County,540,Red Hill Elementary,"White, not of Hispanic origin",Y,34,,34
2005-2006,School,2,Albemarle County,30,Scottsville Elementary,"Black, not of Hispanic origin",Y,<,,<
2005-2006,School,2,Albemarle County,30,Scottsville Elementary,"White, not of Hispanic origin",Y,48,,48
2005-2006,School,2,Albemarle County,920,Stone Robinson Elementary,"Black, not of Hispanic origin",Y,43,,43
2005-2006,School,2,Albemarle County,920,Stone Robinson Elementary,"White, not of Hispanic origin",Y,51,,51
2005-2006,School,2,Albemarle County,240,Stony Point Elementary,"Black, not of Hispanic origin",Y,20,,20
2005-2006,School,2,Albemarle County,240,Stony Point Elementary,"White, not of Hispanic origin",Y,29,,29
2005-2006,School,2,Albemarle County,910,Virginia L. Murray Elementary,"Black, not of Hispanic origin",Y,<,,<
2005-2006,School,2,Albemarle County,910,Virginia L. Murray Elementary,"White, not of Hispanic origin",Y,10,,10
2005-2006,School,2,Albemarle County,140,Western Albemarle High,"Black, not of Hispanic origin",Y,16,,16
2005-2006,School,2,Albemarle County,140,Western Albemarle High,"White, not of Hispanic origin",Y,60,,60
2005-2006,School,2,Albemarle County,930,Woodbrook Elementary,"Black, not of Hispanic origin",Y,58,,58
2005-2006,School,2,Albemarle County,930,Woodbrook Elementary,"White, not of Hispanic origin",Y,24,,24
2005-2006,Division,2,Albemarle County,,,"Black, not of Hispanic origin",Y,793,,793
2005-2006,Division,2,Albemarle County,,,"White, not of Hispanic origin",Y,"1,030",,"1,030"
2005-2006,School,104,Charlottesville City,100,Buford Middle,"Black, not of Hispanic origin",Y,258,,258
2005-2006,School,104,Charlottesville City,100,Buford Middle,"White, not of Hispanic origin",Y,65,,65
2005-2006,School,104,Charlottesville City,70,Burnley-Moran Elementary,"Black, not of Hispanic origin",Y,98,,98
2005-2006,School,104,Charlottesville City,70,Burnley-Moran Elementary,"White, not of Hispanic origin",Y,39,,39
2005-2006,School,104,Charlottesville City,140,Charlottesville High,"Black, not of Hispanic origin",Y,398,,398
2005-2006,School,104,Charlottesville City,140,Charlottesville High,"White, not of Hispanic origin",Y,93,,93
2005-2006,School,104,Charlottesville City,50,Clark Elementary,"Black, not of Hispanic origin",Y,135,,135
2005-2006,School,104,Charlottesville City,50,Clark Elementary,"White, not of Hispanic origin",Y,59,,59
2005-2006,School,104,Charlottesville City,90,Greenbrier Elementary,"Black, not of Hispanic origin",Y,92,,92
2005-2006,School,104,Charlottesville City,90,Greenbrier Elementary,"White, not of Hispanic origin",Y,26,,26
2005-2006,School,104,Charlottesville City,120,Jackson - Via Elementary,"Black, not of Hispanic origin",Y,132,,132
2005-2006,School,104,Charlottesville City,120,Jackson - Via Elementary,"White, not of Hispanic origin",Y,43,,43
2005-2006,School,104,Charlottesville City,10,Johnson Elementary,"Black, not of Hispanic origin",Y,195,,195
2005-2006,School,104,Charlottesville City,10,Johnson Elementary,"White, not of Hispanic origin",Y,20,,20
2005-2006,School,104,Charlottesville City,40,Venable Elementary,"Black, not of Hispanic origin",Y,74,,74
2005-2006,School,104,Charlottesville City,40,Venable Elementary,"White, not of Hispanic origin",Y,16,,16
2005-2006,School,104,Charlottesville City,110,Walker Upper Elementary,"Black, not of Hispanic origin",Y,213,,213
2005-2006,School,104,Charlottesville City,110,Walker Upper Elementary,"White, not of Hispanic origin",Y,64,,64
2005-2006,Division,104,Charlottesville City,,,"Black, not of Hispanic origin",Y,"1,595",,"1,595"
2005-2006,Division,104,Charlottesville City,,,"White, not of Hispanic origin",Y,425,,425
2005-2006,School,32,Fluvanna County,300,Central Elementary,"Black, not of Hispanic origin",Y,101,,101
2005-2006,School,32,Fluvanna County,300,Central Elementary,"White, not of Hispanic origin",Y,138,,138
2005-2006,School,32,Fluvanna County,270,Columbia Dist. Elementary,"Black, not of Hispanic origin",Y,14,,14
2005-2006,School,32,Fluvanna County,270,Columbia Dist. Elementary,"White, not of Hispanic origin",Y,12,,12
2005-2006,School,32,Fluvanna County,290,Cunningham Dist. Elementary,"Black, not of Hispanic origin",Y,39,,39
2005-2006,School,32,Fluvanna County,290,Cunningham Dist. Elementary,"White, not of Hispanic origin",Y,33,,33
2005-2006,School,32,Fluvanna County,260,Fluvanna County High,"Black, not of Hispanic origin",Y,81,,81
2005-2006,School,32,Fluvanna County,260,Fluvanna County High,"White, not of Hispanic origin",Y,68,,68
2005-2006,School,32,Fluvanna County,20,Fluvanna Middle,"Black, not of Hispanic origin",Y,73,,73
2005-2006,School,32,Fluvanna County,20,Fluvanna Middle,"White, not of Hispanic origin",Y,86,,86
2005-2006,Division,32,Fluvanna County,,,"Black, not of Hispanic origin",Y,308,,308
2005-2006,Division,32,Fluvanna County,,,"White, not of Hispanic origin",Y,337,,337
2005-2006,School,39,Greene County,10,Greene County Primary,"Black, not of Hispanic origin",Y,37,,37
2005-2006,School,39,Greene County,10,Greene County Primary,"White, not of Hispanic origin",Y,118,,118
2005-2006,School,39,Greene County,20,Nathanael Greene Elementary,"Black, not of Hispanic origin",Y,22,,22
2005-2006,School,39,Greene County,20,Nathanael Greene Elementary,"White, not of Hispanic origin",Y,92,,92
2005-2006,School,39,Greene County,30,Ruckersville Elementary,"Black, not of Hispanic origin",Y,46,,46
2005-2006,School,39,Greene County,30,Ruckersville Elementary,"White, not of Hispanic origin",Y,98,,98
2005-2006,School,39,Greene County,72,William Monroe High,"Black, not of Hispanic origin",Y,38,,38
2005-2006,School,39,Greene County,72,William Monroe High,"White, not of Hispanic origin",Y,119,,119
2005-2006,School,39,Greene County,71,William Monroe Middle,"Black, not of Hispanic origin",Y,41,,41
2005-2006,School,39,Greene County,71,William Monroe Middle,"White, not of Hispanic origin",Y,97,,97
2005-2006,Division,39,Greene County,,,"Black, not of Hispanic origin",Y,184,,184
2005-2006,Division,39,Greene County,,,"White, not of Hispanic origin",Y,524,,524
2005-2006,School,54,Louisa County,660,Jouett Elementary,"Black, not of Hispanic origin",Y,52,,52
2005-2006,School,54,Louisa County,660,Jouett Elementary,"White, not of Hispanic origin",Y,119,,119
2005-2006,School,54,Louisa County,602,Louisa County High,"Black, not of Hispanic origin",Y,202,,202
2005-2006,School,54,Louisa County,602,Louisa County High,"White, not of Hispanic origin",Y,211,,211
2005-2006,School,54,Louisa County,601,Louisa County Middle,"Black, not of Hispanic origin",Y,182,,182
2005-2006,School,54,Louisa County,601,Louisa County Middle,"White, not of Hispanic origin",Y,225,,225
2005-2006,School,54,Louisa County,610,Thomas Jefferson Elementary,"Black, not of Hispanic origin",Y,147,,147
2005-2006,School,54,Louisa County,610,Thomas Jefferson Elementary,"White, not of Hispanic origin",Y,216,,216
2005-2006,School,54,Louisa County,641,Trevilians Elementary,"Black, not of Hispanic origin",Y,96,,96
2005-2006,School,54,Louisa County,641,Trevilians Elementary,"White, not of Hispanic origin",Y,140,,140
2005-2006,Division,54,Louisa County,,,"Black, not of Hispanic origin",Y,679,,679
2005-2006,Division,54,Louisa County,,,"White, not of Hispanic origin",Y,911,,911
2005-2006,School,62,Nelson County,710,Nelson County High,"Black, not of Hispanic origin",Y,57,,57
2005-2006,School,62,Nelson County,710,Nelson County High,"White, not of Hispanic origin",Y,133,,133
2005-2006,School,62,Nelson County,730,Nelson Middle,"Black, not of Hispanic origin",Y,56,,56
2005-2006,School,62,Nelson County,730,Nelson Middle,"White, not of Hispanic origin",Y,134,,134
2005-2006,School,62,Nelson County,10,Rockfish River Elementary,"Black, not of Hispanic origin",Y,29,,29
2005-2006,School,62,Nelson County,10,Rockfish River Elementary,"White, not of Hispanic origin",Y,99,,99
2005-2006,School,62,Nelson County,20,Tye River Elementary,"Black, not of Hispanic origin",Y,95,,95
2005-2006,School,62,Nelson County,20,Tye River Elementary,"White, not of Hispanic origin",Y,139,,139
2005-2006,Division,62,Nelson County,,,"Black, not of Hispanic origin",Y,237,,237
2005-2006,Division,62,Nelson County,,,"White, not of Hispanic origin",Y,505,,505
2006-2007,School,2,Albemarle County,160,Agnor-Hurt Elementary,"Black, not of Hispanic origin",Y,47,,47
2006-2007,School,2,Albemarle County,160,Agnor-Hurt Elementary,"White, not of Hispanic origin",Y,44,,44
2006-2007,School,2,Albemarle County,880,Albemarle High,"Black, not of Hispanic origin",Y,126,,126
2006-2007,School,2,Albemarle County,880,Albemarle High,"White, not of Hispanic origin",Y,83,,83
2006-2007,School,2,Albemarle County,1053,Baker-Butler Elementary,"Black, not of Hispanic origin",Y,11,,11
2006-2007,School,2,Albemarle County,1053,Baker-Butler Elementary,"White, not of Hispanic origin",Y,13,,13
2006-2007,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,"Black, not of Hispanic origin",Y,39,,39
2006-2007,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,"White, not of Hispanic origin",Y,52,,52
2006-2007,School,2,Albemarle County,100,Broadus Wood Elementary,"Black, not of Hispanic origin",Y,<,,<
2006-2007,School,2,Albemarle County,100,Broadus Wood Elementary,"White, not of Hispanic origin",Y,19,,19
2006-2007,School,2,Albemarle County,941,Brownsville Elementary,"Black, not of Hispanic origin",Y,21,,21
2006-2007,School,2,Albemarle County,941,Brownsville Elementary,"White, not of Hispanic origin",Y,46,,46
2006-2007,School,2,Albemarle County,340,Crozet Elementary,"Black, not of Hispanic origin",Y,<,,<
2006-2007,School,2,Albemarle County,340,Crozet Elementary,"White, not of Hispanic origin",Y,42,,42
2006-2007,School,2,Albemarle County,10,Hollymead Elementary,"Black, not of Hispanic origin",Y,<,,<
2006-2007,School,2,Albemarle County,10,Hollymead Elementary,"White, not of Hispanic origin",Y,31,,31
2006-2007,School,2,Albemarle County,950,Jack Jouett Middle,"Black, not of Hispanic origin",Y,69,,69
2006-2007,School,2,Albemarle County,950,Jack Jouett Middle,"White, not of Hispanic origin",Y,30,,30
2006-2007,School,2,Albemarle County,69,Jackson P. Burley Middle,"Black, not of Hispanic origin",Y,56,,56
2006-2007,School,2,Albemarle County,69,Jackson P. Burley Middle,"White, not of Hispanic origin",Y,40,,40
2006-2007,School,2,Albemarle County,942,Joseph T. Henley Middle,"Black, not of Hispanic origin",Y,21,,21
2006-2007,School,2,Albemarle County,942,Joseph T. Henley Middle,"White, not of Hispanic origin",Y,51,,51
2006-2007,School,2,Albemarle County,20,Leslie H. Walton Middle,"Black, not of Hispanic origin",Y,19,,19
2006-2007,School,2,Albemarle County,20,Leslie H. Walton Middle,"White, not of Hispanic origin",Y,76,,76
2006-2007,School,2,Albemarle County,40,Mary Carr Greer Elementary,"Black, not of Hispanic origin",Y,111,,111
2006-2007,School,2,Albemarle County,40,Mary Carr Greer Elementary,"White, not of Hispanic origin",Y,30,,30
2006-2007,School,2,Albemarle County,250,Meriwether Lewis Elementary,"Black, not of Hispanic origin",Y,<,,<
2006-2007,School,2,Albemarle County,250,Meriwether Lewis Elementary,"White, not of Hispanic origin",Y,14,,14
2006-2007,School,2,Albemarle County,1052,Monticello High,"Black, not of Hispanic origin",Y,70,,70
2006-2007,School,2,Albemarle County,1052,Monticello High,"White, not of Hispanic origin",Y,113,,113
2006-2007,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,"Black, not of Hispanic origin",Y,18,,18
2006-2007,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,"White, not of Hispanic origin",Y,42,,42
2006-2007,School,2,Albemarle County,890,Murray High,"White, not of Hispanic origin",Y,<,,<
2006-2007,School,2,Albemarle County,150,Paul H. Cale Elementary,"Black, not of Hispanic origin",Y,24,,24
2006-2007,School,2,Albemarle County,150,Paul H. Cale Elementary,"White, not of Hispanic origin",Y,44,,44
2006-2007,School,2,Albemarle County,540,Red Hill Elementary,"Black, not of Hispanic origin",Y,11,,11
2006-2007,School,2,Albemarle County,540,Red Hill Elementary,"White, not of Hispanic origin",Y,34,,34
2006-2007,School,2,Albemarle County,30,Scottsville Elementary,"Black, not of Hispanic origin",Y,<,,<
2006-2007,School,2,Albemarle County,30,Scottsville Elementary,"White, not of Hispanic origin",Y,57,,57
2006-2007,School,2,Albemarle County,920,Stone Robinson Elementary,"Black, not of Hispanic origin",Y,25,,25
2006-2007,School,2,Albemarle County,920,Stone Robinson Elementary,"White, not of Hispanic origin",Y,46,,46
2006-2007,School,2,Albemarle County,240,Stony Point Elementary,"Black, not of Hispanic origin",Y,29,,29
2006-2007,School,2,Albemarle County,240,Stony Point Elementary,"White, not of Hispanic origin",Y,22,,22
2006-2007,School,2,Albemarle County,910,Virginia L. Murray Elementary,"Black, not of Hispanic origin",Y,<,,<
2006-2007,School,2,Albemarle County,910,Virginia L. Murray Elementary,"White, not of Hispanic origin",Y,<,,<
2006-2007,School,2,Albemarle County,140,Western Albemarle High,"Black, not of Hispanic origin",Y,20,,20
2006-2007,School,2,Albemarle County,140,Western Albemarle High,"White, not of Hispanic origin",Y,49,,49
2006-2007,School,2,Albemarle County,930,Woodbrook Elementary,"Black, not of Hispanic origin",Y,76,,76
2006-2007,School,2,Albemarle County,930,Woodbrook Elementary,"White, not of Hispanic origin",Y,19,,19
2006-2007,Division,2,Albemarle County,,,"Black, not of Hispanic origin",Y,819,,819
2006-2007,Division,2,Albemarle County,,,"White, not of Hispanic origin",Y,"1,009",,"1,009"
2006-2007,School,104,Charlottesville City,100,Buford Middle,"Black, not of Hispanic origin",Y,238,,238
2006-2007,School,104,Charlottesville City,100,Buford Middle,"White, not of Hispanic origin",Y,50,,50
2006-2007,School,104,Charlottesville City,70,Burnley-Moran Elementary,"Black, not of Hispanic origin",Y,91,,91
2006-2007,School,104,Charlottesville City,70,Burnley-Moran Elementary,"White, not of Hispanic origin",Y,27,,27
2006-2007,School,104,Charlottesville City,140,Charlottesville High,"Black, not of Hispanic origin",Y,401,,401
2006-2007,School,104,Charlottesville City,140,Charlottesville High,"White, not of Hispanic origin",Y,95,,95
2006-2007,School,104,Charlottesville City,50,Clark Elementary,"Black, not of Hispanic origin",Y,128,,128
2006-2007,School,104,Charlottesville City,50,Clark Elementary,"White, not of Hispanic origin",Y,54,,54
2006-2007,School,104,Charlottesville City,90,Greenbrier Elementary,"Black, not of Hispanic origin",Y,85,,85
2006-2007,School,104,Charlottesville City,90,Greenbrier Elementary,"White, not of Hispanic origin",Y,14,,14
2006-2007,School,104,Charlottesville City,120,Jackson - Via Elementary,"Black, not of Hispanic origin",Y,127,,127
2006-2007,School,104,Charlottesville City,120,Jackson - Via Elementary,"White, not of Hispanic origin",Y,36,,36
2006-2007,School,104,Charlottesville City,10,Johnson Elementary,"Black, not of Hispanic origin",Y,174,,174
2006-2007,School,104,Charlottesville City,10,Johnson Elementary,"White, not of Hispanic origin",Y,18,,18
2006-2007,School,104,Charlottesville City,40,Venable Elementary,"Black, not of Hispanic origin",Y,76,,76
2006-2007,School,104,Charlottesville City,40,Venable Elementary,"White, not of Hispanic origin",Y,15,,15
2006-2007,School,104,Charlottesville City,110,Walker Upper Elementary,"Black, not of Hispanic origin",Y,207,,207
2006-2007,School,104,Charlottesville City,110,Walker Upper Elementary,"White, not of Hispanic origin",Y,56,,56
2006-2007,Division,104,Charlottesville City,,,"Black, not of Hispanic origin",Y,"1,527",,"1,527"
2006-2007,Division,104,Charlottesville City,,,"White, not of Hispanic origin",Y,365,,365
2006-2007,School,32,Fluvanna County,300,Central Elementary,"Black, not of Hispanic origin",Y,104,,104
2006-2007,School,32,Fluvanna County,300,Central Elementary,"White, not of Hispanic origin",Y,150,,150
2006-2007,School,32,Fluvanna County,270,Columbia Dist. Elementary,"Black, not of Hispanic origin",Y,18,,18
2006-2007,School,32,Fluvanna County,270,Columbia Dist. Elementary,"White, not of Hispanic origin",Y,19,,19
2006-2007,School,32,Fluvanna County,290,Cunningham Dist. Elementary,"Black, not of Hispanic origin",Y,27,,27
2006-2007,School,32,Fluvanna County,290,Cunningham Dist. Elementary,"White, not of Hispanic origin",Y,43,,43
2006-2007,School,32,Fluvanna County,260,Fluvanna County High,"Black, not of Hispanic origin",Y,107,,107
2006-2007,School,32,Fluvanna County,260,Fluvanna County High,"White, not of Hispanic origin",Y,77,,77
2006-2007,School,32,Fluvanna County,20,Fluvanna Middle,"Black, not of Hispanic origin",Y,69,,69
2006-2007,School,32,Fluvanna County,20,Fluvanna Middle,"White, not of Hispanic origin",Y,82,,82
2006-2007,Division,32,Fluvanna County,,,"Black, not of Hispanic origin",Y,325,,325
2006-2007,Division,32,Fluvanna County,,,"White, not of Hispanic origin",Y,371,,371
2006-2007,School,39,Greene County,10,Greene County Primary,"Black, not of Hispanic origin",Y,37,,37
2006-2007,School,39,Greene County,10,Greene County Primary,"White, not of Hispanic origin",Y,98,,98
2006-2007,School,39,Greene County,20,Nathanael Greene Elementary,"Black, not of Hispanic origin",Y,26,,26
2006-2007,School,39,Greene County,20,Nathanael Greene Elementary,"White, not of Hispanic origin",Y,81,,81
2006-2007,School,39,Greene County,30,Ruckersville Elementary,"Black, not of Hispanic origin",Y,47,,47
2006-2007,School,39,Greene County,30,Ruckersville Elementary,"White, not of Hispanic origin",Y,111,,111
2006-2007,School,39,Greene County,72,William Monroe High,"Black, not of Hispanic origin",Y,37,,37
2006-2007,School,39,Greene County,72,William Monroe High,"White, not of Hispanic origin",Y,114,,114
2006-2007,School,39,Greene County,71,William Monroe Middle,"Black, not of Hispanic origin",Y,45,,45
2006-2007,School,39,Greene County,71,William Monroe Middle,"White, not of Hispanic origin",Y,120,,120
2006-2007,Division,39,Greene County,,,"Black, not of Hispanic origin",Y,192,,192
2006-2007,Division,39,Greene County,,,"White, not of Hispanic origin",Y,524,,524
2006-2007,School,54,Louisa County,660,Jouett Elementary,"Black, not of Hispanic origin",Y,56,,56
2006-2007,School,54,Louisa County,660,Jouett Elementary,"White, not of Hispanic origin",Y,116,,116
2006-2007,School,54,Louisa County,602,Louisa County High,"Black, not of Hispanic origin",Y,169,,169
2006-2007,School,54,Louisa County,602,Louisa County High,"White, not of Hispanic origin",Y,217,,217
2006-2007,School,54,Louisa County,601,Louisa County Middle,"Black, not of Hispanic origin",Y,149,,149
2006-2007,School,54,Louisa County,601,Louisa County Middle,"White, not of Hispanic origin",Y,232,,232
2006-2007,School,54,Louisa County,610,Thomas Jefferson Elementary,"Black, not of Hispanic origin",Y,127,,127
2006-2007,School,54,Louisa County,610,Thomas Jefferson Elementary,"White, not of Hispanic origin",Y,222,,222
2006-2007,School,54,Louisa County,641,Trevilians Elementary,"Black, not of Hispanic origin",Y,93,,93
2006-2007,School,54,Louisa County,641,Trevilians Elementary,"White, not of Hispanic origin",Y,161,,161
2006-2007,Division,54,Louisa County,,,"Black, not of Hispanic origin",Y,594,,594
2006-2007,Division,54,Louisa County,,,"White, not of Hispanic origin",Y,948,,948
2006-2007,School,62,Nelson County,710,Nelson County High,"Black, not of Hispanic origin",Y,71,,71
2006-2007,School,62,Nelson County,710,Nelson County High,"White, not of Hispanic origin",Y,119,,119
2006-2007,School,62,Nelson County,730,Nelson Middle,"Black, not of Hispanic origin",Y,61,,61
2006-2007,School,62,Nelson County,730,Nelson Middle,"White, not of Hispanic origin",Y,130,,130
2006-2007,School,62,Nelson County,10,Rockfish River Elementary,"Black, not of Hispanic origin",Y,24,,24
2006-2007,School,62,Nelson County,10,Rockfish River Elementary,"White, not of Hispanic origin",Y,94,,94
2006-2007,School,62,Nelson County,20,Tye River Elementary,"Black, not of Hispanic origin",Y,94,,94
2006-2007,School,62,Nelson County,20,Tye River Elementary,"White, not of Hispanic origin",Y,125,,125
2006-2007,Division,62,Nelson County,,,"Black, not of Hispanic origin",Y,250,,250
2006-2007,Division,62,Nelson County,,,"White, not of Hispanic origin",Y,468,,468
2007-2008,School,2,Albemarle County,160,Agnor-Hurt Elementary,"Black, not of Hispanic origin",Y,55,,55
2007-2008,School,2,Albemarle County,160,Agnor-Hurt Elementary,"White, not of Hispanic origin",Y,48,,48
2007-2008,School,2,Albemarle County,880,Albemarle High,"Black, not of Hispanic origin",Y,134,,134
2007-2008,School,2,Albemarle County,880,Albemarle High,"White, not of Hispanic origin",Y,89,,89
2007-2008,School,2,Albemarle County,1053,Baker-Butler Elementary,"Black, not of Hispanic origin",Y,13,,13
2007-2008,School,2,Albemarle County,1053,Baker-Butler Elementary,"White, not of Hispanic origin",Y,24,,24
2007-2008,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,"Black, not of Hispanic origin",Y,38,,38
2007-2008,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,"White, not of Hispanic origin",Y,54,,54
2007-2008,School,2,Albemarle County,100,Broadus Wood Elementary,"Black, not of Hispanic origin",Y,<,,<
2007-2008,School,2,Albemarle County,100,Broadus Wood Elementary,"White, not of Hispanic origin",Y,20,,20
2007-2008,School,2,Albemarle County,941,Brownsville Elementary,"Black, not of Hispanic origin",Y,19,,19
2007-2008,School,2,Albemarle County,941,Brownsville Elementary,"White, not of Hispanic origin",Y,45,,45
2007-2008,School,2,Albemarle County,340,Crozet Elementary,"Black, not of Hispanic origin",Y,13,,13
2007-2008,School,2,Albemarle County,340,Crozet Elementary,"White, not of Hispanic origin",Y,44,,44
2007-2008,School,2,Albemarle County,10,Hollymead Elementary,"Black, not of Hispanic origin",Y,<,,<
2007-2008,School,2,Albemarle County,10,Hollymead Elementary,"White, not of Hispanic origin",Y,32,,32
2007-2008,School,2,Albemarle County,950,Jack Jouett Middle,"Black, not of Hispanic origin",Y,93,,93
2007-2008,School,2,Albemarle County,950,Jack Jouett Middle,"White, not of Hispanic origin",Y,34,,34
2007-2008,School,2,Albemarle County,69,Jackson P. Burley Middle,"Black, not of Hispanic origin",Y,44,,44
2007-2008,School,2,Albemarle County,69,Jackson P. Burley Middle,"White, not of Hispanic origin",Y,42,,42
2007-2008,School,2,Albemarle County,942,Joseph T. Henley Middle,"Black, not of Hispanic origin",Y,12,,12
2007-2008,School,2,Albemarle County,942,Joseph T. Henley Middle,"White, not of Hispanic origin",Y,55,,55
2007-2008,School,2,Albemarle County,20,Leslie H. Walton Middle,"Black, not of Hispanic origin",Y,22,,22
2007-2008,School,2,Albemarle County,20,Leslie H. Walton Middle,"White, not of Hispanic origin",Y,86,,86
2007-2008,School,2,Albemarle County,40,Mary Carr Greer Elementary,"Black, not of Hispanic origin",Y,132,,132
2007-2008,School,2,Albemarle County,40,Mary Carr Greer Elementary,"White, not of Hispanic origin",Y,30,,30
2007-2008,School,2,Albemarle County,250,Meriwether Lewis Elementary,"Black, not of Hispanic origin",Y,<,,<
2007-2008,School,2,Albemarle County,250,Meriwether Lewis Elementary,"White, not of Hispanic origin",Y,20,,20
2007-2008,School,2,Albemarle County,1052,Monticello High,"Black, not of Hispanic origin",Y,77,,77
2007-2008,School,2,Albemarle County,1052,Monticello High,"White, not of Hispanic origin",Y,111,,111
2007-2008,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,"Black, not of Hispanic origin",Y,<,,<
2007-2008,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,"White, not of Hispanic origin",Y,35,<,36
2007-2008,School,2,Albemarle County,890,Murray High,"Black, not of Hispanic origin",Y,<,,<
2007-2008,School,2,Albemarle County,890,Murray High,"White, not of Hispanic origin",Y,<,,<
2007-2008,School,2,Albemarle County,150,Paul H. Cale Elementary,"Black, not of Hispanic origin",Y,20,,20
2007-2008,School,2,Albemarle County,150,Paul H. Cale Elementary,"White, not of Hispanic origin",Y,53,,53
2007-2008,School,2,Albemarle County,540,Red Hill Elementary,"Black, not of Hispanic origin",Y,17,,17
2007-2008,School,2,Albemarle County,540,Red Hill Elementary,"White, not of Hispanic origin",Y,45,,45
2007-2008,School,2,Albemarle County,30,Scottsville Elementary,"Black, not of Hispanic origin",Y,<,,<
