School Year,Level,Division Number,Division Name,School Number,School Name,Race,Disabled,Disability Type,Full Time Count (All Grades),Part Time Count (All Grades),Total Count
2005-2006,School,2,Albemarle County,69,Jackson P. Burley Middle,"Black, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2005-2006,School,2,Albemarle County,69,Jackson P. Burley Middle,"Black, not of Hispanic origin",Y,Autism,<,,<
2005-2006,School,2,Albemarle County,69,Jackson P. Burley Middle,"White, not of Hispanic origin",Y,Specific Learning Disabilities,18,,18
2005-2006,School,2,Albemarle County,69,Jackson P. Burley Middle,"White, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,69,Jackson P. Burley Middle,"White, not of Hispanic origin",Y,Other Health Impairments,13,,13
2005-2006,School,2,Albemarle County,69,Jackson P. Burley Middle,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2005-2006,School,2,Albemarle County,69,Jackson P. Burley Middle,"White, not of Hispanic origin",Y,Autism,<,,<
2005-2006,School,2,Albemarle County,942,Joseph T. Henley Middle,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2005-2006,School,2,Albemarle County,942,Joseph T. Henley Middle,"White, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,942,Joseph T. Henley Middle,"White, not of Hispanic origin",Y,Autism,<,,<
2005-2006,School,2,Albemarle County,942,Joseph T. Henley Middle,"White, not of Hispanic origin",Y,Specific Learning Disabilities,57,,57
2005-2006,School,2,Albemarle County,942,Joseph T. Henley Middle,"White, not of Hispanic origin",Y,Other Health Impairments,24,,24
2005-2006,School,2,Albemarle County,942,Joseph T. Henley Middle,"White, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2005-2006,School,2,Albemarle County,942,Joseph T. Henley Middle,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2005-2006,School,2,Albemarle County,20,Leslie H. Walton Middle,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,20,Leslie H. Walton Middle,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,12,,12
2005-2006,School,2,Albemarle County,20,Leslie H. Walton Middle,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
2005-2006,School,2,Albemarle County,20,Leslie H. Walton Middle,"Black, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2005-2006,School,2,Albemarle County,20,Leslie H. Walton Middle,"Black, not of Hispanic origin",Y,Autism,<,,<
2005-2006,School,2,Albemarle County,20,Leslie H. Walton Middle,"White, not of Hispanic origin",Y,Autism,<,,<
2005-2006,School,2,Albemarle County,20,Leslie H. Walton Middle,"White, not of Hispanic origin",Y,Specific Learning Disabilities,33,,33
2005-2006,School,2,Albemarle County,20,Leslie H. Walton Middle,"White, not of Hispanic origin",Y,Other Health Impairments,22,,22
2005-2006,School,2,Albemarle County,20,Leslie H. Walton Middle,"White, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2005-2006,School,2,Albemarle County,20,Leslie H. Walton Middle,"White, not of Hispanic origin",Y,Hearing Impairments,<,,<
2005-2006,School,2,Albemarle County,20,Leslie H. Walton Middle,"White, not of Hispanic origin",Y,Emotional Disturbance,13,,13
2005-2006,School,2,Albemarle County,20,Leslie H. Walton Middle,"White, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,40,Mary Carr Greer Elementary,"Black, not of Hispanic origin",Y,Developmental Delay,<,,<
2005-2006,School,2,Albemarle County,40,Mary Carr Greer Elementary,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
2005-2006,School,2,Albemarle County,40,Mary Carr Greer Elementary,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2005-2006,School,2,Albemarle County,40,Mary Carr Greer Elementary,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,40,Mary Carr Greer Elementary,"Black, not of Hispanic origin",Y,Visual Impairments,<,,<
2005-2006,School,2,Albemarle County,40,Mary Carr Greer Elementary,"White, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,40,Mary Carr Greer Elementary,"White, not of Hispanic origin",Y,Developmental Delay,<,,<
2005-2006,School,2,Albemarle County,40,Mary Carr Greer Elementary,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2005-2006,School,2,Albemarle County,40,Mary Carr Greer Elementary,"White, not of Hispanic origin",Y,Hearing Impairments,<,,<
2005-2006,School,2,Albemarle County,40,Mary Carr Greer Elementary,"White, not of Hispanic origin",Y,Other Health Impairments,<,,<
2005-2006,School,2,Albemarle County,40,Mary Carr Greer Elementary,"White, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2005-2006,School,2,Albemarle County,40,Mary Carr Greer Elementary,"White, not of Hispanic origin",Y,Autism,<,,<
2005-2006,School,2,Albemarle County,250,Meriwether Lewis Elementary,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2005-2006,School,2,Albemarle County,250,Meriwether Lewis Elementary,"White, not of Hispanic origin",Y,Speech or Language Impairments,14,,14
2005-2006,School,2,Albemarle County,250,Meriwether Lewis Elementary,"White, not of Hispanic origin",Y,Specific Learning Disabilities,10,,10
2005-2006,School,2,Albemarle County,250,Meriwether Lewis Elementary,"White, not of Hispanic origin",Y,Other Health Impairments,<,,<
2005-2006,School,2,Albemarle County,250,Meriwether Lewis Elementary,"White, not of Hispanic origin",Y,Hearing Impairments,<,,<
2005-2006,School,2,Albemarle County,250,Meriwether Lewis Elementary,"White, not of Hispanic origin",Y,Developmental Delay,<,,<
2005-2006,School,2,Albemarle County,250,Meriwether Lewis Elementary,"White, not of Hispanic origin",Y,Autism,<,,<
2005-2006,School,2,Albemarle County,1052,Monticello High,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,16,,16
2005-2006,School,2,Albemarle County,1052,Monticello High,"Black, not of Hispanic origin",Y,Other Health Impairments,12,,12
2005-2006,School,2,Albemarle County,1052,Monticello High,"Black, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2005-2006,School,2,Albemarle County,1052,Monticello High,"Black, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2005-2006,School,2,Albemarle County,1052,Monticello High,"White, not of Hispanic origin",Y,Autism,<,,<
2005-2006,School,2,Albemarle County,1052,Monticello High,"White, not of Hispanic origin",Y,Visual Impairments,,,
2005-2006,School,2,Albemarle County,1052,Monticello High,"White, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,1052,Monticello High,"White, not of Hispanic origin",Y,Specific Learning Disabilities,77,,77
2005-2006,School,2,Albemarle County,1052,Monticello High,"White, not of Hispanic origin",Y,Emotional Disturbance,21,,21
2005-2006,School,2,Albemarle County,1052,Monticello High,"White, not of Hispanic origin",Y,Hearing Impairments,<,,<
2005-2006,School,2,Albemarle County,1052,Monticello High,"White, not of Hispanic origin",Y,Orthopedic Impairments,<,,<
2005-2006,School,2,Albemarle County,1052,Monticello High,"White, not of Hispanic origin",Y,Other Health Impairments,24,,24
2005-2006,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
2005-2006,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,12,,12
2005-2006,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,"White, not of Hispanic origin",Y,Specific Learning Disabilities,34,,34
2005-2006,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,"White, not of Hispanic origin",Y,Speech or Language Impairments,12,,12
2005-2006,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,"White, not of Hispanic origin",Y,Autism,<,,<
2005-2006,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2005-2006,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,"White, not of Hispanic origin",Y,Other Health Impairments,11,,11
2005-2006,School,2,Albemarle County,890,Murray High,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
2005-2006,School,2,Albemarle County,890,Murray High,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2005-2006,School,2,Albemarle County,890,Murray High,"White, not of Hispanic origin",Y,Autism,<,,<
2005-2006,School,2,Albemarle County,890,Murray High,"White, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,890,Murray High,"White, not of Hispanic origin",Y,Specific Learning Disabilities,16,,16
2005-2006,School,2,Albemarle County,890,Murray High,"White, not of Hispanic origin",Y,Other Health Impairments,16,,16
2005-2006,School,2,Albemarle County,150,Paul H. Cale Elementary,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2005-2006,School,2,Albemarle County,150,Paul H. Cale Elementary,"Black, not of Hispanic origin",Y,Developmental Delay,<,,<
2005-2006,School,2,Albemarle County,150,Paul H. Cale Elementary,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,150,Paul H. Cale Elementary,"White, not of Hispanic origin",Y,Developmental Delay,<,,<
2005-2006,School,2,Albemarle County,150,Paul H. Cale Elementary,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2005-2006,School,2,Albemarle County,150,Paul H. Cale Elementary,"White, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2005-2006,School,2,Albemarle County,150,Paul H. Cale Elementary,"White, not of Hispanic origin",Y,Other Health Impairments,<,,<
2005-2006,School,2,Albemarle County,150,Paul H. Cale Elementary,"White, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2005-2006,School,2,Albemarle County,150,Paul H. Cale Elementary,"White, not of Hispanic origin",Y,Visual Impairments,<,,<
2005-2006,School,2,Albemarle County,150,Paul H. Cale Elementary,"White, not of Hispanic origin",Y,Speech or Language Impairments,22,,22
2005-2006,School,2,Albemarle County,150,Paul H. Cale Elementary,"White, not of Hispanic origin",Y,Autism,<,,<
2005-2006,School,2,Albemarle County,540,Red Hill Elementary,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2005-2006,School,2,Albemarle County,540,Red Hill Elementary,"Black, not of Hispanic origin",Y,Developmental Delay,<,,<
2005-2006,School,2,Albemarle County,540,Red Hill Elementary,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,540,Red Hill Elementary,"White, not of Hispanic origin",Y,Other Health Impairments,<,,<
2005-2006,School,2,Albemarle County,540,Red Hill Elementary,"White, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2005-2006,School,2,Albemarle County,540,Red Hill Elementary,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2005-2006,School,2,Albemarle County,540,Red Hill Elementary,"White, not of Hispanic origin",Y,Speech or Language Impairments,18,,18
2005-2006,School,2,Albemarle County,540,Red Hill Elementary,"White, not of Hispanic origin",Y,Autism,<,,<
2005-2006,School,2,Albemarle County,540,Red Hill Elementary,"White, not of Hispanic origin",Y,Developmental Delay,<,,<
2005-2006,School,2,Albemarle County,30,Scottsville Elementary,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,30,Scottsville Elementary,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
2005-2006,School,2,Albemarle County,30,Scottsville Elementary,"White, not of Hispanic origin",Y,Developmental Delay,<,,<
2005-2006,School,2,Albemarle County,30,Scottsville Elementary,"White, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2005-2006,School,2,Albemarle County,30,Scottsville Elementary,"White, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,30,Scottsville Elementary,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2005-2006,School,2,Albemarle County,30,Scottsville Elementary,"White, not of Hispanic origin",Y,Other Health Impairments,<,,<
2005-2006,School,2,Albemarle County,920,Stone Robinson Elementary,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,920,Stone Robinson Elementary,"Black, not of Hispanic origin",Y,Developmental Delay,<,,<
2005-2006,School,2,Albemarle County,920,Stone Robinson Elementary,"Black, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2005-2006,School,2,Albemarle County,920,Stone Robinson Elementary,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2005-2006,School,2,Albemarle County,920,Stone Robinson Elementary,"White, not of Hispanic origin",Y,Visual Impairments,<,,<
2005-2006,School,2,Albemarle County,920,Stone Robinson Elementary,"White, not of Hispanic origin",Y,Speech or Language Impairments,19,,19
2005-2006,School,2,Albemarle County,920,Stone Robinson Elementary,"White, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2005-2006,School,2,Albemarle County,920,Stone Robinson Elementary,"White, not of Hispanic origin",Y,Other Health Impairments,<,,<
2005-2006,School,2,Albemarle County,920,Stone Robinson Elementary,"White, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2005-2006,School,2,Albemarle County,920,Stone Robinson Elementary,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2005-2006,School,2,Albemarle County,920,Stone Robinson Elementary,"White, not of Hispanic origin",Y,Developmental Delay,<,,<
2005-2006,School,2,Albemarle County,920,Stone Robinson Elementary,"White, not of Hispanic origin",Y,Autism,<,,<
2005-2006,School,2,Albemarle County,240,Stony Point Elementary,"Black, not of Hispanic origin",Y,Developmental Delay,<,,<
2005-2006,School,2,Albemarle County,240,Stony Point Elementary,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
2005-2006,School,2,Albemarle County,240,Stony Point Elementary,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2005-2006,School,2,Albemarle County,240,Stony Point Elementary,"Black, not of Hispanic origin",Y,Speech or Language Impairments,,,
2005-2006,School,2,Albemarle County,240,Stony Point Elementary,"White, not of Hispanic origin",Y,Developmental Delay,<,,<
2005-2006,School,2,Albemarle County,240,Stony Point Elementary,"White, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2005-2006,School,2,Albemarle County,240,Stony Point Elementary,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2005-2006,School,2,Albemarle County,240,Stony Point Elementary,"White, not of Hispanic origin",Y,Orthopedic Impairments,<,,<
2005-2006,School,2,Albemarle County,240,Stony Point Elementary,"White, not of Hispanic origin",Y,Other Health Impairments,<,,<
2005-2006,School,2,Albemarle County,240,Stony Point Elementary,"White, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,240,Stony Point Elementary,"White, not of Hispanic origin",Y,Autism,<,,<
2005-2006,School,2,Albemarle County,910,Virginia L. Murray Elementary,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,910,Virginia L. Murray Elementary,"White, not of Hispanic origin",Y,Developmental Delay,<,,<
2005-2006,School,2,Albemarle County,910,Virginia L. Murray Elementary,"White, not of Hispanic origin",Y,Speech or Language Impairments,16,,16
2005-2006,School,2,Albemarle County,910,Virginia L. Murray Elementary,"White, not of Hispanic origin",Y,Orthopedic Impairments,<,,<
2005-2006,School,2,Albemarle County,910,Virginia L. Murray Elementary,"White, not of Hispanic origin",Y,Other Health Impairments,<,,<
2005-2006,School,2,Albemarle County,910,Virginia L. Murray Elementary,"White, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2005-2006,School,2,Albemarle County,910,Virginia L. Murray Elementary,"White, not of Hispanic origin",Y,Autism,<,,<
2005-2006,School,2,Albemarle County,910,Virginia L. Murray Elementary,"White, not of Hispanic origin",Y,Hearing Impairments,<,,<
2005-2006,School,2,Albemarle County,140,Western Albemarle High,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
2005-2006,School,2,Albemarle County,140,Western Albemarle High,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2005-2006,School,2,Albemarle County,140,Western Albemarle High,"Black, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2005-2006,School,2,Albemarle County,140,Western Albemarle High,"White, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,140,Western Albemarle High,"White, not of Hispanic origin",Y,Specific Learning Disabilities,80,,80
2005-2006,School,2,Albemarle County,140,Western Albemarle High,"White, not of Hispanic origin",Y,Other Health Impairments,22,,22
2005-2006,School,2,Albemarle County,140,Western Albemarle High,"White, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2005-2006,School,2,Albemarle County,140,Western Albemarle High,"White, not of Hispanic origin",Y,Hearing Impairments,<,,<
